"site","width50","canopy50","crown05","crown25","crown50","crown75","crown95","crownmax","strat00","strat02","strat05","strat15","strat30","strat45","strat60","strattree","c10m","c20m","c50m","c100m","ht05","ht25","ht50","ht75","ht95","htmax","tree05","tree15","tree30","tree45","tree60"
"longleaf pine",14.58,23.59,20.18,25.53,27.77,30.15,32.46,36.28,39.62,4.49,11.1,42.44,2.35,0,0,55.888,25.37,27.84,30.26,31.76,7.5,16.93,22.49,26.17,29.71,36.28,1.35,39.56,14.98,0,0
"mesic chaparral",8.74,6.14,5.67,6.5,7.81,10.5,17.49,20.2,41.21,50.04,8.52,0.23,0,0,0,8.752,7.08,7.43,9,12.77,5.12,5.49,6.12,7.73,13.17,20.2,7.69,1.07,0,0,0
"mesic forest ravines",22,26.98,25.16,29.37,32.37,34.89,38.52,43.99,3.81,1.48,6.04,68.09,20.57,0,0,94.707,30.5,32.51,35.46,37.5,13.43,22.58,26.39,29.36,33.66,43.99,0.22,28.02,66.47,0,0
"mio aspen 19 y",9.24,7.54,7.44,8.29,9.46,11.23,13.01,14.04,5.48,12.77,81.75,0,0,0,0,81.748,9.79,10.57,11.63,13,5.58,6.55,7.56,8.99,11.29,14.04,81.75,0,0,0,0
"mio jack pine 19 y",7.74,6.62,6.52,7.6,8.19,8.78,9.77,14.54,43.86,50.75,5.39,0,0,0,0,5.39,7.38,7.62,8.05,8.87,5.24,5.87,6.54,7.36,8.5,14.54,5.39,0,0,0,0
"mio jack pine 39 y",8.74,7.11,7.57,8.16,8.58,9.01,9.68,19.41,7.77,7.17,84.91,0.15,0,0,0,85.06,8.83,9.43,10.43,11.45,5.63,6.48,7.11,7.71,8.58,19.41,84.6,0.46,0,0,0
"mn bog forest",7.05,7.35,7.94,9.23,10.22,11.22,12.67,14.78,29.63,24.17,46.19,0,0,0,0,46.193,10.32,11.37,12.5,14.1,5.34,6.28,7.25,8.39,10.32,14.78,46.19,0,0,0,0
"mn boreal",10.03,11.31,9.06,12.5,15.46,17.84,20.55,22.25,17.61,14.94,58.51,8.94,0,0,0,67.449,14.85,16.55,18.76,20.43,5.73,7.66,10.19,13.11,17.24,22.25,30.41,37.04,0,0,0
"mn hemiboreal",14.97,18.76,17.85,20.39,22.16,24.17,26.27,28.48,5.72,4.09,20.82,69.36,0,0,0,90.189,21.6,22.65,24.04,25.07,8.33,15.43,18.34,20.95,23.82,28.48,0.74,89.45,0,0,0
"northern hardwoods cove",20.78,27.43,26.81,29.01,30.39,31.72,33.67,37.32,0.3,0.07,0.25,84.82,14.56,0,0,99.624,29.66,30.68,32.27,33.46,22.31,25.81,27.26,28.87,31.07,37.32,0,41.6,58.03,0,0
"northern hardwoods sunslope",18.16,18.31,15.38,19.31,21.31,22.62,24.41,28.63,0.38,0.08,15.16,84.38,0,0,0,99.537,20.47,21.96,25.49,28.83,11.57,16.18,18.2,20.39,22.19,28.63,4.49,95.05,0,0,0
"northern mesic forest",18.68,19.92,13.09,21.13,23.62,25.78,28.67,34.63,3.43,1.6,19.89,74.93,0.16,0,0,94.971,21.9,23.34,25.9,28.25,8.51,15.91,19.36,22.03,25.57,34.63,8.14,85.34,1.49,0,0
"oak-chestnut",18.61,21.38,13.93,21.2,26.37,30.75,36.28,46.91,0.28,1.7,24.42,65.92,7.67,0,0,98.018,25,26.99,31,36.62,8.21,15.03,20.66,25.48,31.32,46.91,6.89,62.96,28.05,0.12,0
"oak-pine barrens",14.09,13.67,10.91,14.27,17.65,20,22.84,27.5,31.03,6.69,41.55,20.73,0,0,0,62.281,15.8,17.42,19.76,21.58,6.47,9.83,12.81,16.16,19.63,27.5,18.69,43.59,0,0,0
"prdry lowland",10.65,6.75,6.31,7.55,8.79,10.2,12.2,14.63,5.23,36.34,58.43,0,0,0,0,58.427,8.62,9.87,11.42,12.71,5.2,5.75,6.59,7.87,10.15,14.63,58.43,0,0,0,0
"prdry upland",7.98,5.84,5.66,6.34,7.04,8.14,10.67,12.76,7.92,63.09,28.99,0,0,0,0,28.994,6.78,7.4,8.92,10.84,5.11,5.38,5.78,6.46,8.19,12.76,28.99,0,0,0,0
"prrainforest",23.04,23.93,21.68,26.38,29.72,33.43,38.42,49.55,0.01,0.02,3.78,83.85,12.33,0.01,0,99.968,28.53,31.06,34.89,37.96,15.68,20.55,23.67,27.26,32.67,49.55,0.03,52.18,47.51,0.24,0
"ramsey cove hardwood",20.9,27.99,27.04,32.41,36.03,39.58,45.63,54.13,2.45,4.05,12.44,51.69,29.03,0.35,0,93.505,33.9,37.3,41.56,44.28,9.16,20.45,26.51,31.37,37.88,54.13,0.36,12.21,75.21,5.73,0
"ramsey heath bald",7.31,6.69,5.89,7.81,10.17,16.5,20.28,20.28,5.06,86.61,7.6,0.74,0,0,0,8.335,9.4,12.74,24.44,36.01,5.13,5.74,7.08,10.67,17.17,20.28,5.86,2.47,0,0,0
"ramsey northern hardwoods",18.68,23.16,20.7,26.9,30.22,33.41,38.12,46.36,1.76,5.09,18.34,66.42,8.39,0,0,93.149,28.39,31.54,35.47,38.32,8,16.59,21.88,26.13,31.79,46.36,1.46,43.77,47.86,0.05,0
"ramsey oak-chestnut",16.2,18.61,12.49,18.03,22.87,26.21,30.74,38.45,0.19,1,31.47,66.3,1.04,0,0,98.81,21.78,23.3,25.96,29.32,8.11,13.34,17.98,22,26.82,38.45,13.12,78.86,6.83,0,0
"ramsey yellow pine",11.23,8.94,8.64,10.78,12.16,13.72,17.29,20.26,0.54,7.77,89.53,2.17,0,0,0,91.691,12.72,14.4,17.59,21.12,5.72,7.16,8.78,10.75,13.53,20.26,77.18,14.51,0,0,0
"redwoods",24.23,41.55,38.99,48.53,53.39,59.28,67.49,78.15,1.36,1.36,4.65,18.03,43.92,28.16,2.52,97.28,49.57,54.51,60.5,64.91,15.38,30.94,39.47,46.99,56.81,78.15,0.13,1.31,12.57,61.3,21.97
"redwoods h2",29.66,80.96,88.83,94.85,98.46,102.15,107.73,112.66,0.82,0.57,1.58,3.49,4.47,8.64,80.44,98.614,90.66,96.85,102.71,105.91,29.44,65.92,78.85,88,97.1,112.66,0,0,0,0.07,98.54
"redwoods humbolt",26.99,69.5,66.94,81.73,87.73,93.47,98.73,105.02,0.49,0.53,3.2,10.81,12.11,17.85,55.02,98.979,77.65,85.41,92.24,95.98,18.13,43.31,63.37,75.49,86.87,105.02,0,0.12,1.57,1.6,95.69
"rocky mt spruce ne",10.7,13.3,13.49,16.55,18.4,20.77,26.27,36.36,19.92,8.32,52.54,19.12,0.1,0,0,71.752,18.77,20.83,23.67,26.37,6.41,9.86,12.56,15.28,19.42,36.36,8.65,62.06,1.04,0,0
"rocky mt spruce sw",9.44,11.2,10.4,13.29,15.16,17.32,21.44,29.4,26.65,12.18,55.88,5.28,0,0,0,61.162,16.19,18.81,22.1,24.61,5.77,7.86,10.52,12.55,16.31,29.4,28.88,32.29,0,0,0
